Subject Name,Characteristics,Lab Subject,Type of Subject,Duration,Requirements,Learning Background,Learning Style,Learning Ability,Teacher Experience,Teaching Pattern,Lab Facility
Heat Transfer,Experimental,No,Elective,20,Theoretical,PhD,Field-Independent,High,New,Socratic,Not Available
Control Systems,Design-oriented,No,Elective,30,Theoretical,PhD,Reflective,Low,Experienced,Didactic,Available
Manufacturing Processes,Analytical,Yes,Elective,40,Theoretical,PG,Active,High,Intermediate,Didactic,Available
Control Systems,Experimental,Yes,Core,40,Theoretical,UG,Auditory,Medium,New,Teacher-Centered,Available
Fluid Mechanics,Experimental,Yes,Core,10,Theoretical,PG,Reflective,High,Intermediate,Direct Teaching,Available
Heat Transfer,Design-oriented,Yes,Elective,20,Theoretical,UG,Impulsive,Low,Intermediate,Discipline-Centered,Not Available
Fluid Mechanics,Analytical,No,Elective,50,Theoretical,PG,Impulsive,Medium,Experienced,Direct Teaching,Not Available
Control Systems,Design-oriented,Yes,Elective,10,Theoretical,PG,Abstract,High,Experienced,Problem Solving,Not Available
Control Systems,Experimental,No,Elective,20,Lab,PG,Auditory,Low,Intermediate,Facilitator,Available
Thermodynamics,Analytical,No,Core,20,Lab,PhD,Intuitive,Low,New,Global,Available
Heat Transfer,Analytical,Yes,Core,10,Theoretical,PhD,Field-Independent,Low,Intermediate,Judicial,Available
Heat Transfer,Design-oriented,No,Elective,20,Theoretical,UG,Field-Independent,Medium,New,Didactic,Available
Computer-Aided Design (CAD),Analytical,Yes,Elective,20,Theoretical,PG,Intuitive,High,New,Teacher-Centered,Available
Engineering Mechanics,Experimental,Yes,Elective,40,Theoretical,PhD,Intuitive,High,Experienced,Problem Solving,Not Available
Thermodynamics,Experimental,No,Core,40,Lab,PG,Global,High,New,Legislative,Available
Thermodynamics,Experimental,No,Core,20,Theoretical,UG,Field-Independent,Medium,Experienced,Indirect Teaching,Available
Computer-Aided Design (CAD),Analytical,No,Core,40,Theoretical,PG,Kinesthetic,Medium,New,Socratic,Not Available
Thermodynamics,Analytical,Yes,Core,50,Lab,PG,Field-Dependent,High,Intermediate,Facilitative,Not Available
Engineering Mechanics,Experimental,Yes,Core,30,Lab,PhD,Active,High,New,Local,Not Available
Engineering Mechanics,Experimental,Yes,Elective,10,Theoretical,PhD,Global,Low,Intermediate,Facilitator,Not Available
Engineering Mechanics,Analytical,No,Elective,40,Theoretical,UG,Intuitive,High,New,Peer Teaching,Not Available
Thermodynamics,Experimental,No,Elective,40,Theoretical,PG,Field-Independent,High,New,Socratic,Not Available
Control Systems,Design-oriented,No,Elective,40,Lab,PG,Concrete,High,Intermediate,Judicial,Available
Computer-Aided Design (CAD),Experimental,Yes,Elective,10,Theoretical,PG,Impulsive,Medium,New,Facilitator,Available
Mechatronics,Analytical,Yes,Core,50,Theoretical,PG,Global,High,New,Direct Teaching,Not Available
Control Systems,Design-oriented,Yes,Core,30,Lab,UG,Global,Low,New,Delegator,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Elective,50,Theoretical,PhD,Abstract,High,New,Teacher-Centered,Not Available
Engineering Mechanics,Analytical,Yes,Core,20,Theoretical,PG,Kinesthetic,High,New,Discipline-Centered,Not Available
Machine Design,Analytical,No,Core,10,Lab,PhD,Abstract,Medium,Intermediate,Expert,Available
Control Systems,Experimental,Yes,Core,30,Theoretical,PhD,Abstract,High,New,Indirect Teaching,Not Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,30,Theoretical,PG,Visual,High,Experienced,Judicial,Not Available
Engineering Mechanics,Experimental,Yes,Elective,30,Lab,PG,Visual,High,Experienced,Conservative,Available
Mechatronics,Design-oriented,No,Core,50,Theoretical,PhD,Global,Medium,New,Global,Available
Machine Design,Design-oriented,Yes,Core,40,Lab,UG,Intuitive,Medium,New,Discipline-Centered,Not Available
Engineering Mechanics,Analytical,Yes,Core,20,Lab,UG,Field-Independent,Medium,Intermediate,Didactic,Not Available
Fluid Mechanics,Analytical,No,Core,20,Lab,PhD,Kinesthetic,High,Intermediate,Direct Teaching,Not Available
Thermodynamics,Analytical,No,Core,50,Theoretical,PhD,Impulsive,High,New,Teacher-Centered,Not Available
Fluid Mechanics,Analytical,No,Core,40,Theoretical,UG,Reflective,High,Intermediate,Expert,Not Available
Mechatronics,Experimental,Yes,Elective,20,Theoretical,UG,Impulsive,Medium,Experienced,Global,Not Available
Engineering Mechanics,Design-oriented,No,Elective,20,Theoretical,PhD,Auditory,Low,New,Personal Model,Not Available
Engineering Mechanics,Analytical,No,Elective,20,Lab,PG,Intuitive,Medium,Experienced,Delegator,Not Available
Mechanics of Materials,Experimental,Yes,Elective,50,Theoretical,PhD,Intuitive,High,Intermediate,Global,Not Available
Manufacturing Processes,Experimental,No,Core,10,Lab,PG,Concrete,Medium,New,Direct Teaching,Not Available
Fluid Mechanics,Experimental,Yes,Core,10,Theoretical,UG,Sequential,Low,Intermediate,Facilitative,Available
Mechanics of Materials,Experimental,Yes,Core,20,Lab,PhD,Tactile,Low,Intermediate,Indirect Teaching,Available
Engineering Mechanics,Analytical,Yes,Elective,10,Theoretical,PhD,Kinesthetic,Low,Experienced,Expert,Not Available
Fluid Mechanics,Experimental,No,Core,20,Theoretical,PG,Reflective,Low,Experienced,Personal Model,Available
Heat Transfer,Experimental,Yes,Elective,20,Lab,PhD,Field-Dependent,High,Experienced,Conservative,Not Available
Heat Transfer,Experimental,No,Core,10,Lab,UG,Sequential,Low,New,Facilitator,Available
Mechanics of Materials,Experimental,Yes,Elective,50,Theoretical,UG,Active,High,Intermediate,Formal Authority,Not Available
Mechanics of Materials,Design-oriented,Yes,Core,20,Theoretical,PG,Concrete,Medium,New,Discipline-Centered,Available
Mechatronics,Analytical,Yes,Elective,20,Lab,UG,Impulsive,High,Intermediate,Personal Model,Available
Machine Design,Analytical,No,Elective,30,Lab,PG,Abstract,Medium,Intermediate,Group Approach,Available
Mechanics of Materials,Analytical,Yes,Core,10,Theoretical,UG,Intuitive,Low,Experienced,Conservative,Not Available
Mechatronics,Experimental,Yes,Elective,40,Lab,UG,Visual,High,Intermediate,Judicial,Not Available
Mechatronics,Design-oriented,Yes,Core,10,Lab,PG,Visual,High,Experienced,Executive,Not Available
Manufacturing Processes,Analytical,No,Core,40,Lab,UG,Abstract,Low,New,Executive,Available
Fluid Mechanics,Design-oriented,No,Elective,10,Lab,PG,Concrete,Medium,Intermediate,Formal Authority,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,10,Theoretical,PG,Reflective,High,New,Judicial,Available
Manufacturing Processes,Experimental,Yes,Core,30,Lab,UG,Abstract,Low,Experienced,Global,Not Available
Engineering Mechanics,Analytical,Yes,Elective,30,Theoretical,PhD,Auditory,Low,Intermediate,Facilitator,Not Available
Mechatronics,Analytical,Yes,Elective,50,Lab,UG,Impulsive,High,New,Direct Teaching,Not Available
Heat Transfer,Experimental,Yes,Core,30,Theoretical,UG,Kinesthetic,Low,New,Group Approach,Available
Fluid Mechanics,Analytical,Yes,Elective,40,Lab,PG,Global,High,Experienced,Conservative,Available
Computer-Aided Design (CAD),Design-oriented,No,Core,20,Lab,PhD,Visual,Low,Experienced,Liberal,Not Available
Fluid Mechanics,Analytical,Yes,Elective,10,Theoretical,UG,Auditory,High,New,Facilitator,Available
Heat Transfer,Design-oriented,No,Elective,10,Lab,PG,Global,High,Experienced,Global,Not Available
Mechatronics,Design-oriented,No,Elective,30,Theoretical,PG,Intuitive,High,New,Executive,Available
Thermodynamics,Analytical,No,Core,10,Theoretical,PG,Tactile,Low,New,Conservative,Not Available
Mechanics of Materials,Analytical,No,Elective,20,Theoretical,PG,Global,Low,New,Facilitative,Not Available
Mechanics of Materials,Design-oriented,Yes,Core,40,Theoretical,PG,Sequential,Medium,Experienced,Delegator,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,10,Lab,PhD,Tactile,Medium,Intermediate,Conservative,Available
Computer-Aided Design (CAD),Experimental,No,Core,30,Theoretical,PG,Auditory,Medium,Intermediate,Student-Centered,Available
